Innings,Player_name,Over_start_number,Runs_Scored,Balls_faced,Team1,Team2,Venue,Toss_winner,Toss_decision,Winner
2,MS Dhoni,9.1,4,16,India,Pakistan,Kennington Oval,India,field,Pakistan
1,MS Dhoni,38.4,3,10,India,Pakistan,Sheikh Zayed Stadium,India,bat,Pakistan
1,MS Dhoni,25.6,59,71,India,Pakistan,Sheikh Zayed Stadium,India,bat,India
2,MS Dhoni,16.6,63,76,India,Pakistan,Nehru Stadium,Pakistan,bat,India
1,MS Dhoni,37.1,4,10,India,Pakistan,"""Punjab Cricket Association Stadium",India,bat,Pakistan
1,MS Dhoni,28.1,49,50,India,Pakistan,Green Park,Pakistan,field,India
2,MS Dhoni,29.2,45,45,India,Pakistan,Captain Roop Singh Stadium,Pakistan,bat,India
2,MS Dhoni,28.1,24,31,India,Pakistan,Sawai Mansingh Stadium,India,field,Pakistan
1,MS Dhoni,36.4,24,23,India,Pakistan,Shere Bangla National Stadium,India,bat,India
2,MS Dhoni,29.1,64,57,India,Pakistan,Shere Bangla National Stadium,Pakistan,bat,Pakistan
2,MS Dhoni,21.4,3,8,India,Pakistan,SuperSport Park,Pakistan,bat,Pakistan
1,MS Dhoni,25.4,25,41,India,Pakistan,"""Punjab Cricket Association Stadium",India,bat,India
2,MS Dhoni,17.5,56,68,India,Pakistan,Rangiri Dambulla International Stadium,Pakistan,bat,India
1,MS Dhoni,9.5,113,123,India,Pakistan,"""MA Chidambaram Stadium",Pakistan,field,Pakistan
2,MS Dhoni,18.6,54,89,India,Pakistan,Eden Gardens,India,field,Pakistan
1,MS Dhoni,15.6,36,54,India,Pakistan,Feroz Shah Kotla,India,bat,India
1,MS Dhoni,45.3,18,13,India,Pakistan,Adelaide Oval,India,bat,India
